cnpj_basico;razao_social;endereco_completo;cep;ddd;tel;email;desc_porte;nomenclatura_natureza
05765911;MARIOTO & MARIOTO FARMACIA LTDA;AVENIDA ANA JACINTA, 950 - JARDIM ELDORADO;19027080;18;39075060;DROGAMAIS4@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
05766091;A. G. COMERCIO DE ACUMULADORES E PECAS LTDA;AVENIDA CEL. JOSE SOARES MARCONDES, 1841 - VILA EUCLIDES;19010082;;;;ME - Micro Empresa;Sociedade Empresária Limitada
04116264;ALUMIART PRUDENTE ESQUADRIAS DE ALUMINIO LTDA;RUA DONA LAZINHA, 399 - JD SANTA ELIZA;19027090;18;39064040;JOAOALUMIART@TERRA.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
07851285;ENFASE COMUNICACAO S/S LTDA;RUA TOMIZO KAWAGUTI, 39 - VILA INDUSTRIAL;19013450;18;39163754;assesscont@terra.com.br;ME - Micro Empresa;Sociedade Simples Limitada
02491321;SHANADHO BOUTIQUE LTDA;RUA RAFAEL AYALA, 191 - JARDIM PAULISTANO;19013740;;;;ME - Micro Empresa;Sociedade Empresária Limitada
00896461;AUTO PECAS LEIMAR LTDA;RUA ARTHUR VILA REAL, 154 - VL INDUSTRIAL;19013570;18;32231829;LEIMAR.LOCADORA@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
05906483;GLM - COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;RUA ANTONIO TREVIZAN, 365 - DISTRITO INDUSTRIAL;19043060;18;32222730;FINANCEIRO.GLM@CAFECRUZEIRODOSUL.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
00904893;LANCHES VANGUARDA LTDA;RUA SARGENTO FIRMINO LEAO, 59 - VILA MARCONDES;19031130;18;32212818;LANCHESVANGUARDA@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
05939786;QUEIROZ CABELEREIROS LTDA;RUA PIRATININGA, 106 - VILA JESUS;19020040;18;32211677;ESCRITORIOUNIVERSO@UOL.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
05948009;ANUNCIACAO ROUPAS E PRESENTES LTDA;AVENIDA QUATORZE DE SETEMBRO, 1436 - VILA GUAIRA;19014000;18;33558095;;ME - Micro Empresa;Sociedade Empresária Limitada
02667049;JOVETE COMERCIO DE PECAS LTDA;AVENIDA JOAQUIM CONSTANTINO, 1117 - VILA FORMOSA;19053300;018;2236900;;ME - Micro Empresa;Sociedade Empresária Limitada
02667060;DELLANO CORRETORA DE SEGUROS DE VIDA S/C LTDA;RUA ALEIXO BALBINO NEVES, 225 - ANA JACINTA;19063390;;;;ME - Micro Empresa;Sociedade Empresária Limitada
04413482;PASTELOCA PASTEIS LTDA;AVENIDA MANOEL GOULART, 2400 - VILA SANTA HELENA;19060000;18;32214314;DATACON@IFTNET.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
01068569;IMPERMEABILIZADORA PRIMER LTDA; LOC  CHACARA FHILADELFIA, S/N - BAIRRO UNIAO;19023430;;;;ME - Micro Empresa;Sociedade Empresária Limitada
06110235;MIE KEN PRODUTOS ALIMENTICIOS LTDA;AVENIDA MANOEL GOULART, 787 - CENTRO;19015240;18;2219406;;ME - Micro Empresa;Sociedade Empresária Limitada
02726522;CLAUDIO APARECIDO DA ROCHA LTDA;RUA ALVINO GOMES TEIXEIRA, 3804 - PARQUE ALEXANDRINA;19030440;18;32216942;parati@paraticontabilidade.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
55333363;PAPELARIA PRUDENTINA LTDA;AVENIDA CORONEL JOSE SOARES MARCONDES, 1.104 - BOSQUE;19010080;18;32215311;COMERCIAL@PAPELARIAPRUDENTINA.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
55334569;RELOJOARIA NIPPON LTDA ME;RUA BARAO DO RIO BRANCO, 338 - CENTRO;19010000;;;;ME - Micro Empresa;Sociedade Empresária Limitada
55352389;J. CAVALI S/S LTDA;RUA QUINTINO BOCAIUVA, 1292 - VILA FURQUIM;19030000;;;;ME - Micro Empresa;Sociedade Simples Limitada
02749085;VAPRIW TELAS & ALAMBRADOS LTDA;AVENIDA CIDADE FUKUYAMA, 263 - D. INDL. MARIO AMATO;19064210;18;39096177;TELAS@VAPRIW.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
55929772;AGUAS MINERAIS SANTA INES LTDA;ESTRADA PRES PRUDENTE, SN - SETE COPAS;19023430;;;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
06211109;S.N. INDUSTRIA DE ARTEFATOS PARA SELARIA LTDA;RUA LUIZ ALESSI, 301 - JARDIM BALNEARIO;19065530;18;39063970;CARMEM.SNARTEFATOS@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
56074644;COMAVE - COMERCIO DE MADEIRAS VELASQUES LTDA;RODOVIA RAPOSO TAVARES, S/N - JARDIM JEQUITIBAS;19067550;18;81354712;ATENDIMENTO@ORGATECO.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
04561258;FICHER & LUPION S/S LTDA;RUA VIOLANDA LUIZARI SYLLA, 405 - GRUPO EDUCACIONAL ESQUEMA;19066180;18;96265144;DIRECAO@COLEGIOPRUDENTE.NET.BR;ME - Micro Empresa;Sociedade Simples Limitada
02866737;PANIFICADORA GIACOMIN VALDEZ LTDA;RUA FERNAO DIAS, 733 - VILA SANTA TEREZA;19023280;18;97019975;PAULISTAPANIFICADORAPP@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
74675414;PRUDEN-FIL DISTRIBUIDORA DE FILTROS E LUBRIF. LTDA.;AVENIDA BRASIL, 2737 - VILA INDUSTRIAL;19013002;18;32219878;FOCUSCON@TERRA.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
04657033;DATACON CONTABILIDADE LTDA.;AVENIDA CELESTINO JOSE FIGUEIREDO, 575 - VILA COMERCIAL;19015270;18;32214314;ALTEMAR@DATACONPP.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
04661733;CAMPOS LIRA ADVOGADOS ASSOCIADOS;RUA PADRE JOAO GOETZ, 656 - JD CINQUENTENARIO;19061460;18;2911277;;ME - Micro Empresa;Sociedade Simples Limitada
04662783;PRESIDENTE LOTERIAS LTDA;AVENIDA SALIM FARAH MALUF, 170 - JARDIM DAS ROSAS;19026240;18;97096767;LOTERICASHOPP@YAHOO.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
02910956;CLINICA SAO GERALDO S/C LTDA.;AVENIDA MARECHAL DEODORO, 352 - VILA NOVA;19013060;0018;02221775;;ME - Micro Empresa;Sociedade Simples Limitada
57324972;ACCESS ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA;RUA FRANCISCO GOMES, 75 - JARDIM PAULISTANO;19013780;18;32223535;ACCESS@ACCESSCONSULTORIA.COM.BR;ME - Micro Empresa;Sociedade Simples Limitada
57326878;DIVULGACAO ASSESSORIA DE COMUNICACOES S/S LTDA;RUA JOAQUIM JESUS DOS SANTOS, 277 - RES. CENTRAL PARK;19060560;18;32221666;ORCA@ DXNET.COM.BR;ME - Micro Empresa;Sociedade Simples Limitada
02918819;PIQUIONI & OLIVEIRA LTDA;RUA GURGEL-DR, 534 - CENTRO;19010020;18;32731644;EAMARILDO@UOL.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
06368827;MARCELO ANTONIO FERREIRA & CIA. LTDA;RUA DARIO VINCOLETO, 419 - JARDIM ELDORADO;19026060;;;;ME - Micro Empresa;Sociedade Empresária Limitada
02947062;VALTINHO - DISTRIBUIDOR DE PECAS PARA AUTOS LTDA;AVENIDA BRASIL, 1243 - VILA NOVA;19010032;018;2227644;contasci@prudenet.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
06926338;F.R.S.CALCADOS E CONFECCOES LTDA;AVENIDA MANOEL GOULART, 2400 - VILA SANTA HELENA;19060000;;;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
04768489;VIEIRA E GERBASI ADVOGADOS ASSOCIADOS;RUA RUI BARBOSA,, 837 - CENTRO;19015000;;;;ME - Micro Empresa;Sociedade Empresária Limitada
01375550;CLINICA VETERINARIA BOM PASTOR LTDA;AVENIDA WASHINGTON LUIZ, 2516 - JD PAULISTA;19023450;;;;ME - Micro Empresa;Sociedade Empresária Limitada
01376423;D.H.P. DIRECOES HIDRAULICAS PRESIDENTE LTDA;RUA JAIME SOARES PROF, 538 - JD RIO 400;19053290;18;32691573;cruzsul@icenet.com.br;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
58517020;EMPRESA FUNERARIA MONTI FUJI LTDA;AVENIDA MANOEL GOULART, 897 - VILA OCIDENTAL;19015240;18;32227633;ezio@stetne.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
06987993;VANIA DEL MASSA & CIA LTDA;AVENIDA JOAQUIM CONSTANTINO, 6450 - PQ.RES.SERVANTES II;19067550;018;39076162;;ME - Micro Empresa;Sociedade Empresária Limitada
07008882;AUTO POSTO PERETTI LTDA;AVENIDA MANOEL GOULART, 1835 - VILA SANTA HELENA;19015241;18;96842294;POSTOREALPERETTI2024@GMAIL.COM;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
07022329;TURBOTEC REMANUFATURA DE PECAS LTDA;RUA ZEFERIDO DANIEL CASEIRO, 678 - JARDIM MARACANA;19026250;18;39075307;ADM@TURBOTEC.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
03073941;CAMPI COMERCIO DE PERSIANAS E CORTINAS  LTDA;RUA CORONEL ALBINO, 2565 - PQ.SAO JUDAS TADEU;19023350;18;32235049;PERSIANASCAMPI@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
03084136;COMERCIAL PE QUENTE SHOPPING LTDA;RUA SIQUEIRA CAMPOS, 1545 - VILA ROBERTO;19013030;18;32216561;FELICIO.GERVASONI@GMAIL.COM;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
07052344;A.P.M.C. CORRETORA E CONSULTORIA EM SEGUROS LTDA;RUA CORONEL ALBINO, 390 - VILA MARISTELA;19020360;18;96012513;MARCELO@APMCSEGUROS.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
07126447;M. M. A. - ELETRONICA LTDA;RUA ANTONIO TREVIZAN, 215 - DISTRITO INDUSTRIAL;19043060;18;21041198;contratos@esclider.com.br;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
01557527;ESCOLA DE EDUCACAO INFANTIL CHAPEUZINHO VERMELHO S/S LTDA;RUA SIQUEIRA CAMPOS, 285 - BOSQUE;19010060;18;32231030;liga@ligaempresarial.com.br;ME - Micro Empresa;Sociedade Simples Limitada
03211515;STABILE & NOGUEIRA LTDA;AVENIDA CEL. JOSE SOARES MARCONDES, 80 - VILA MARISTELA;19020120;18;32217542;clarsil@muranet.com.br;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
60659455;REVECAP REPRESENTACOES DE AUTO PECAS LTDA;RUA JULIO PERUCHE, 372 - JARDIM MARACANA;19026260;18;32211677;ESCRITORIOUNIVERSO@UOL.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
03254176;ALEGRIA - COMERCIO DE FOGOS E ARTIGOS PARA FESTAS LTDA;AVENIDA MANOEL GOULART, 3304 - JARDIM DAS ROSAS;19060000;18;39172808;FOGOSEALEGRIA@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
03273758;SOFT LINE SISTEMAS LTDA;RUA SIQUEIRA CAMPOS, 1112 - VILA NOVA;19010062;18;39162881;SOFTLINE@SOFTLINEAUTOMACAO.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
01648442;LANCHONETE E RESTAURANTE PRUDENTAO III LTDA;AVENIDA MANOEL GOULART, 4000 - JARDIM MONTE ALTO;19060000;18;32691133;CPAULISTA@ESCRITORIOPAULISTA.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
44866457;SERRALHERIA TECNICA LTDA;RUA JOSE STADELA, 332 - JARDIM ELDORADO;19026050;18;32222323;ANTONIO@ESCRITORIOELIO.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
46435087;LARGUEZA GIGLIO COMERCIO DE VEICULOS LTDA;RUA FELICIO TARABAY, 487 - CENTRO;19023430;;;;ME - Micro Empresa;Sociedade Empresária Limitada
63993067;COMERCIO DE MALHAS SO KILO LTDA;AVENIDA 11 DE MAIO, 249 - VILA FORMOSA;19050050;0018;2229946;;ME - Micro Empresa;Sociedade Empresária Limitada
64611361;SERGIO & CELSO NEVES PINTURAS S/S LTDA;RUA JOSE ARTERO GARCIA, 256 - JARDIM MARACANA;19026370;;;;ME - Micro Empresa;Sociedade Empresária Limitada
64872153;AUTO POSTO MAXIM'S LTDA;RUA JOAO GIANETTI, 168 - JD S. LUIZ;19061020;;;;ME - Micro Empresa;Sociedade Empresária Limitada
48809958;COMERCIAL NEONCOLOR LTDA;RUA LUIZ ANTONIO PINHEIRO, 410 - VILA FORMOSA;19050140;;;;ME - Micro Empresa;Sociedade Empresária Limitada
48815401;NILTON GAVA & CIA LTDA;RUA TTE.NICOLAU MAFFEI, 654 - CENTRO;19015020;0018;02226466;;ME - Micro Empresa;Sociedade Empresária Limitada
65640039;DE TILIO REPRESENTACOES COMERCIAIS LTDA;RUA JOSE BONGIOVANI, 51 - JD BONGIOVANI;19050680;;;;ME - Micro Empresa;Sociedade Empresária Limitada
65862906;AUTO POSTO EXECUTIVO LTDA;RUA JOSE BONGIOVANI, 241 - JARDIM BONGIOVANI;19050680;;;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
67080432;SUPRIWEST SUPRIMENTOS LTDA;AVENIDA MANOEL GOULART, 2400 - PRUDENSHOPING;19060000;;;;ME - Micro Empresa;Sociedade Empresária Limitada
50968759;HEALTH DISTRIBUIDORA E COMERCIO DE PRODUTOS LTDA;RUA JOAQUIM ROQUE DA SILVA, 65 - JARDIM BELA DARIA;19013350;018;2238565;eatlas@stetnet.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
67887307;MONTEIRO COMERCIAL DE HORTIFRUTIGRANJEIROS LTDA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 105 - GRUPO EDUCACIONAL ESQUEMA;19065300;18;96622792;MONTEIROAGRICULTURE2017@OUTLOOK.COM;ME - Micro Empresa;Sociedade Empresária Limitada
51394849;CONSERVATORIO MUSICAL MAESTRO JULIAO DE PRESIDENTE PRUDENTE LTDA;RUA RIBEIRO DE BARROS, 1556 - CENTRO;19015030;;;;ME - Micro Empresa;Sociedade Simples Limitada
51397842;CLINICA E HOSPITAL DE CIRURGIA PLASTICA CORPUS S/S LTDA;AVENIDA CEL JOSE S MARCONDES, 3825 - JARDIM BONGIOVANI;19050230;;;;ME - Micro Empresa;Sociedade Simples Limitada
68164391;D & M LIMPA FOSSA S/C LTDA;RUA BELA VISTA, 620 - CIDADE JARDIM;19023440;;;;ME - Micro Empresa;Sociedade Empresária Limitada
53299616;TOPAZIO COMERCIO E CONSERTOS DE JOIAS LTDA;RUA SIQUEIRA CAMPOS, 629 - CENTRO;19010061;;;;ME - Micro Empresa;Sociedade Empresária Limitada
53389037;FARMACIA FLORA MEDICA LTDA;RUA RUI BARBOSA, 449 - CENTRO;19010260;;;;ME - Micro Empresa;Sociedade Empresária Limitada
07562371;M.L. DE SOUZA AREIA LTDA;ESTRADA PIONEIRO RAIMUNDO MAIOLINI, S/N - RURAL;19110008;18;32225785;JOPAMA@TERRA.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
07562417;RL HIGIENE PRESIDENTE PRUDENTE LTDA;RUA ANTONIO DE SOUZA COSTA, 217 - JARDIM RIO 400;19053240;18;39062590;LUCIANA@CONDUTA.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
04092242;LV CONSTRUCOES E SOLUCOES TECNICAS LTDA;RUA PASCHOAL VERNILLE, 22 - JARDIM TROPICAL;19063330;18;97591260;OSNYLV@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
